date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:04	5182/5182	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202017%2018:25:04%20GMT	http://recept.mohem.se/robots.txt		(from )
19:25:04	30936/30936	U--M--	200	updated ('OK')	text/html	date:Sun,%2005%20Feb%202017%2018:25:04%20GMT	http://recept.mohem.se/	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/index.html	(from )
19:25:05	4350/4350	U-----	200	untouched ('OK')	text/css	etag:%22808965e0a44ccc1:0%22	http://recept.mohem.se/Styles/Site.css	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/Site.css	(from http://recept.mohem.se/)
19:25:05	2338/2338	U-----	200	untouched ('OK')	text/css	etag:%228888311291cfcc1:0%22	http://recept.mohem.se/Styles/Styles21.css	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/Styles21.css	(from http://recept.mohem.se/)
19:25:05	1012/1012	U-----	200	untouched ('OK')	text/css	etag:%227b9cdffadcfcc1:0%22	http://recept.mohem.se/Styles/gvStyle.css	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/gvStyle.css	(from http://recept.mohem.se/)
19:25:05	5200/5200	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202017%2018:25:04%20GMT	http://recept.mohem.se/Styles/GridView.css	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/GridView.0.delayed	(from http://recept.mohem.se/)
19:25:05	905/905	U-----	200	untouched ('OK')	text/css	etag:%220f3ccdfa44ccc1:0%22	http://recept.mohem.se/Styles/menu_style.css	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/menu_style.css	(from http://recept.mohem.se/)
19:25:06	140/140	---M--	302	error ('Found')	text/html	date:Sun,%2005%20Feb%202017%2018:25:07%20GMT	http://recept.mohem.se/ShowRecipe.aspx?command=new	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipe.30c1f.delayed	(from http://recept.mohem.se/)
19:25:06	797/797	U-----	200	untouched ('OK')	text/css	etag:%22805c34dfa44ccc1:0%22	http://recept.mohem.se/Styles/jquery.autocomplete.css	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/jquery.autocomplete.css	(from http://recept.mohem.se/)
19:25:06	71922/71922	U-----	200	untouched ('OK')	application/x-javascript	etag:%2280d5a0dba44ccc1:0%22	http://recept.mohem.se/Scripts/jquery-1.4.1.min.js	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Scripts/jquery-1.4.1.min.js	(from http://recept.mohem.se/)
19:25:06	19928/19928	U-----	200	untouched ('OK')	application/x-javascript	etag:%2206c39dca44ccc1:0%22	http://recept.mohem.se/Scripts/jquery.autocomplete.js	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Scripts/jquery.autocomplete.js	(from http://recept.mohem.se/)
19:25:06	20794/20794	U-----	200	untouched ('OK')	application/x-javascript	date:Tue,%2001%20Jul%202014%2007:42:11%20GMT	http://recept.mohem.se/WebResource.axd?d=xXX0wyUm9PSJNs-ccTmEYeUfAbn0HgoNdWjUromaxYbIP5ttLqRLcUNYXVPeKhSFPhXgAMHQaYazTbrFTRc5ceK34VE1&t=635398045310332500	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/WebResourceea0f.js	(from http://recept.mohem.se/)
19:25:07	140/140	---M--	302	error ('Found')	text/html	date:Sun,%2005%20Feb%202017%2018:25:07%20GMT	http://recept.mohem.se/ShowMenu.aspx	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowMenu.4.delayed	(from http://recept.mohem.se/)
19:25:07	9348/9348	U-----	200	untouched ('OK')	application/x-javascript	date:Tue,%2001%20Jul%202014%2007:42:11%20GMT	http://recept.mohem.se/WebResource.axd?d=O7udksCHmIgFIH5zGezmPY8OxwtoFgS6viorxrvyiJoVVA_bG1MlhtUamzyfp__M2PBEgqnpsYL92E8GJmXv0pv5F581&t=635398045310332500	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/WebResource8436.js	(from http://recept.mohem.se/)
19:25:07	51610/51610	U-----	200	untouched ('')	image/jpeg	etag:%2280e683cea44ccc1:0%22	http://recept.mohem.se/Img/smultron_hdr2.jpg	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Img/smultron_hdr2.jpg	(from http://recept.mohem.se/)
19:25:08	22915/22915	U-----	200	untouched ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:22%20GMT	http://recept.mohem.se/Account/Login.aspx	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Account/Login.html	(from http://recept.mohem.se/)
19:25:08	30936/30936	U--M--	200	updated ('OK')	text/html	date:Sun,%2005%20Feb%202017%2018:25:09%20GMT	http://recept.mohem.se/Default.aspx	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Default.html	(from http://recept.mohem.se/)
19:25:09	5158/5158	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2005%20Feb%202017%2018:25:09%20GMT	http://recept.mohem.se/About.aspx	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/About.aspx	(from http://recept.mohem.se/)
19:25:09	22764/22764	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Feb%202017%2018:25:09%20GMT	http://recept.mohem.se/ShowRecipe.aspx?recipe_id=64	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/ShowRecipecfbd.html	(from http://recept.mohem.se/)
19:25:09	43/43	U-----	200	untouched ('')	image/gif	date:Tue,%2001%20Jul%202014%2007:42:11%20GMT	http://recept.mohem.se/WebResource.axd?d=phl6c8r1XzzFMLKhqhVvVG2FuRXwC4z8vjc17qfCxqM-GqwwLa5SnCUBwCwuLq7MA54M1NgwZhi8JWvvov7ZtNudVUQ1&t=635398045310332500	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/WebResourcec33f.gif	(from http://recept.mohem.se/)
19:25:10	121/121	U-----	200	untouched ('')	image/gif	date:Tue,%2001%20Jul%202014%2007:42:11%20GMT	http://recept.mohem.se/WebResource.axd?d=sSd87U5Dy0MfJVFc9ai_H355mQ1YwUmq-GR_XsI5DsWbGfjAUv82Gx0AzvaJrxn3JRfTxylNS0r2gw3MbOYl038FEk17Mv2Auy7PPwJg1cptua-Y0&t=635398045310332500	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/WebResourceda76.gif	(from http://recept.mohem.se/)
19:25:10	118/118	U-----	200	untouched ('')	image/gif	date:Tue,%2001%20Jul%202014%2007:42:11%20GMT	http://recept.mohem.se/WebResource.axd?d=xSw4kAJY7f7NeRL-D0TMudi-fFKzprhhNvbtxso4Yvv9UCpa9IfoG-XHIf_RcsS40hTEVW5hSrQziHiA0X9GcsF_qq8xA8GIa1KLEE310TZ75aW-0&t=635398045310332500	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/WebResourcecd35.gif	(from http://recept.mohem.se/)
