date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:14	5182/5182	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202017%2018:45:13%20GMT	http://recept.mohem.se/robots.txt		(from )
19:45:15	30817/30817	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202017%2018:45:13%20GMT	http://recept.mohem.se/	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/index.html	(from )
19:45:16	4350/4350	---M--	200	added ('OK')	text/css	etag:%22808965e0a44ccc1:0%22	http://recept.mohem.se/Styles/Site.css	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/Site.css	(from http://recept.mohem.se/)
19:45:17	2338/2338	---M--	200	added ('OK')	text/css	etag:%228888311291cfcc1:0%22	http://recept.mohem.se/Styles/Styles21.css	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/Styles21.css	(from http://recept.mohem.se/)
19:45:17	1012/1012	---M--	200	added ('OK')	text/css	etag:%227b9cdffadcfcc1:0%22	http://recept.mohem.se/Styles/gvStyle.css	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/gvStyle.css	(from http://recept.mohem.se/)
19:45:17	905/905	---M--	200	added ('OK')	text/css	etag:%220f3ccdfa44ccc1:0%22	http://recept.mohem.se/Styles/menu_style.css	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/menu_style.css	(from http://recept.mohem.se/)
19:45:18	5200/5200	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202017%2018:45:15%20GMT	http://recept.mohem.se/Styles/GridView.css	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/GridView.4.delayed	(from http://recept.mohem.se/)
19:45:18	797/797	---M--	200	added ('OK')	text/css	etag:%22805c34dfa44ccc1:0%22	http://recept.mohem.se/Styles/jquery.autocomplete.css	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Styles/jquery.autocomplete.css	(from http://recept.mohem.se/)
19:45:20	71922/71922	---M--	200	added ('OK')	application/x-javascript	etag:%2280d5a0dba44ccc1:0%22	http://recept.mohem.se/Scripts/jquery-1.4.1.min.js	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Scripts/jquery-1.4.1.min.js	(from http://recept.mohem.se/)
19:45:22	19928/19928	---M--	200	added ('OK')	application/x-javascript	etag:%2206c39dca44ccc1:0%22	http://recept.mohem.se/Scripts/jquery.autocomplete.js	C:/Users/Mathias/Documents/Websites/Recept/recept.mohem.se/Scripts/jquery.autocomplete.js	(from http://recept.mohem.se/)
